
ICE,BlacKat,Corroder,Darwin,Knight,Morning Star,Wyrm,Aurora,Breach,Crypsis,Overmind,Alpha,Atman,Battering Ram,Deus X,Inti,Omega,Snowball
Eli 1.0,4,4,8,4,1,9,6,4,6,4,5,6,3,-,8,5,5
Heimdall 1.0,9,7,12,6,-,14,10,4,9,6,8,9,7,0,13,8,8
Heimdall 2.0,11,8,13,6,-,15,10,6,10,7,9,10,8,0,15,9,9
NEXT Silver,1,1,3,2,1,3,2,2,2,1,1,2,2,-,1,1,1
Wotan,18,12,18,-,-,21,14,8,14,10,13,14,11,-,22,13,13
Himitsu-Bako,1,1,4,2,1,4,4,2,3,2,2,3,2,-,3,2,2
Snowflake,1,2,5,2,1,5,4,4,4,3,3,4,2,-,5,3,3
Wall of Thorns,6,5,9,4,1,10,8,4,7,5,6,7,4,0,10,6,6
TMI,5,4,7,2,1,7,6,4,6,5,5,6,4,-,9,5,5
Wraparound,1,1,2,2,1,3,2,2,1,0,1,1,2,-,1,1,1
Bastion,3,3,6,2,1,6,4,4,5,4,4,5,3,-,7,4,4
Galahad,1,1,3,2,1,3,2,2,2,1,1,2,2,-,1,1,1
Paper Wall,1,1,3,2,1,3,2,2,2,1,1,2,2,-,1,1,1
Rainbow,3,3,6,2,1,6,4,4,5,4,4,5,3,-,7,4,4
Wall of Static,1,2,5,2,1,5,4,4,4,3,3,4,2,-,5,3,3
Curtain Wall,9,7,12,6,-,14,10,4,9,6,8,9,7,-,13,8,8
Hadrian's Wall,10,7,11,4,-,12,8,6,9,7,8,9,6,-,14,8,8
Hive,6,7,15,12,1,20,14,6,9,3,8,9,6,-,10,8,8
Ice Wall,1,1,3,2,1,3,2,2,2,1,1,2,2,-,1,1,1
Tyrant,3,3,6,2,1,6,4,4,5,4,4,5,3,-,7,4,4
Wendigo,3,3,6,2,1,6,4,4,5,4,4,5,3,-,7,4,4
